#Title,first_name,nickname,Initial,last_name,suffix,email,web_page,image
Prof. Dr.,Floris,,F. S.,van der Tak,,,https://personal.sron.nl/~vdtak,images/team/floris.jpg
Prof. Dr.,Inga,,,Kamp,,,https://www.astro.rug.nl/~kamp/,images/team/inga.jpeg
Dr.,Russell,,,Shipman,,,,https://media-exp1.licdn.com/dms/image/C5603AQGmTkRw2hA5Ew/profile-displayphoto-shrink_400_400/0/1516518022061?e=1617840000&v=beta&t=rvXPIHTAmZDFrdlU_MLHT_MsuM6_KZXRutOXS6r3H58
Dr.,Fred,,,Lahuis,,,,https://lh3.googleusercontent.com/a-/AAuE7mCnaoRP9NQot0MUQdXIc7ysSszAHRb7JPrTJ0GTRA=s640-rw-il
Dr.,Michael,Migo,,Mueller,,,,https://avatars.githubusercontent.com/u/27828944?s=460&u=e9fdf92aef9137610d49d04450ac2c3011c78cdc&v=4
Dr.,Kateryna,,,Frantseva,,,https://www.astro.rug.nl/~frantseva/,images/team/Katya.png
Dr.,Vera,,,Dobos,,,https://veradobos.webnode.com/,images/team/DobosV2019.jpg
,Umit,,,Kavak,MSc,,http://umitkavak.com/,https://i1.rgstatic.net/ii/profile.image/378359235268610-1467219279471_Q512/Umit_Kavak.jpg
,Nick,,,Oberg,MSc,,https://www.astro.rug.nl/~oberg/,https://pbs.twimg.com/profile_images/1134999892605247489/1iwOlj-s_400x400.jpg
,Andres Felipe,,,Ramos Padilla,MSc,,https://www.astro.rug.nl/~ramos/,https://static.wixstatic.com/media/d1f597_5a02f12c4af34d3797e7bd65381ea28f~mv2.jpg
,Bayron,,,Portilla,MSc,,https://www.astro.rug.nl/~portilla/,images/team/bayron.jpg
,Francisco ,,,Ardevol Martinez,MSc,,https://franciscoardevolmartinez.github.io/,https://franciscoardevolmartinez.github.io/images/me.jpg
,Areli ,,,Castrejon,MSc,,www.arelicastrejon.com,https://cdn2.iconfinder.com/data/icons/4web-3/139/header-account-image-line-512.png
,Jayatee ,,,Kanwar,MSc,,https://jayateekanwar.weebly.com/,https://cdn2.iconfinder.com/data/icons/4web-3/139/header-account-image-line-512.png
,Mark,,,Oosterloo,MSc,,https://www.linkedin.com/in/mark-oosterloo-6b73a5163/,images/team/MarkOosterloo.jpg
